Price,price
Ticker,SPY
Date,
2006-03-15,90.26597595214844
2006-03-16,90.45231628417969
2006-03-17,90.52783966064453
2006-03-20,90.38235473632812
2006-03-21,89.81402587890625
2006-03-22,90.3615493774414
2006-03-23,90.17442321777344
2006-03-24,90.24375915527344
2006-03-27,90.11201477050781
2006-03-28,89.55758666992188
2006-03-29,90.11897277832031
2006-03-30,89.95958709716797
2006-03-31,89.98035430908203
2006-04-03,89.91101837158203
2006-04-04,90.48629760742188
2006-04-05,90.7981948852539
2006-04-06,90.70114135742188
2006-04-07,89.77936553955078
2006-04-10,89.9179916381836
2006-04-11,89.1556396484375
2006-04-12,89.32194519042969
2006-04-13,89.20416259765625
2006-04-17,89.16947174072266
2006-04-18,90.58330535888672
2006-04-19,90.75663757324219
2006-04-20,90.88134765625
2006-04-21,90.89518737792969
2006-04-24,90.72884368896484
2006-04-25,90.35460662841797
2006-04-26,90.37539672851562
2006-04-27,90.8120346069336
2006-04-28,91.11698913574219
2006-05-01,90.37539672851562
2006-05-02,91.05461883544922
2006-05-03,90.71501159667969
2006-05-04,91.04075622558594
2006-05-05,91.8447036743164
2006-05-08,91.73382568359375
2006-05-09,91.91400146484375
2006-05-10,91.86553955078125
2006-05-11,90.75663757324219
2006-05-12,89.5714111328125
2006-05-15,89.75165557861328
2006-05-16,89.61996459960938
2006-05-17,87.9150390625
2006-05-18,87.47145080566406
2006-05-19,88.08831787109375
2006-05-22,87.41603088378906
2006-05-23,86.7507095336914
2006-05-24,87.44375610351562
2006-05-25,88.52495574951172
2006-05-26,88.9754409790039
2006-05-30,87.39524841308594
2006-05-31,88.37246704101562
2006-06-01,89.21800994873047
2006-06-02,89.4051284790039
2006-06-05,88.10216522216797
2006-06-06,87.88732147216797
2006-06-07,87.22891998291016
2006-06-08,87.15264129638672
2006-06-09,86.87544250488281
2006-06-12,85.93287658691406
2006-06-13,84.93489074707031
2006-06-14,85.59327697753906
2006-06-15,87.40908813476562
2006-06-16,86.77215576171875
2006-06-19,86.08995056152344
2006-06-20,86.38231658935547
2006-06-21,87.02274322509766
2006-06-22,86.63990020751953
2006-06-23,86.62593078613281
2006-06-26,87.00883483886719
2006-06-27,86.25701904296875
2006-06-28,86.84176635742188
2006-06-29,88.59599304199219
2006-06-30,88.60295867919922
2006-07-03,88.9649658203125
2006-07-05,88.45677947998047
2006-07-06,88.71435546875
2006-07-07,88.13655090332031
2006-07-10,88.3036117553711
2006-07-11,88.69347381591797
2006-07-12,87.7467269897461
2006-07-13,86.31969451904297
2006-07-14,85.98552703857422
2006-07-17,85.86021423339844
2006-07-18,86.29877471923828
2006-07-19,87.4961166381836
2006-07-20,86.89742279052734
2006-07-21,86.28482818603516
2006-07-24,87.85808563232422
2006-07-25,88.17137145996094
2006-07-26,88.28970336914062
2006-07-27,88.2061767578125
2006-07-28,89.09027099609375
2006-07-31,88.99976348876953
2006-08-01,88.56116485595703
2006-08-02,89.15984344482422
2006-08-03,89.39656066894531
2006-08-04,89.24341583251953
2006-08-07,89.03455352783203
2006-08-08,88.69347381591797
2006-08-09,88.39413452148438
2006-08-10,88.66560363769531
2006-08-11,88.41497802734375
2006-08-14,88.48463439941406
2006-08-15,89.54273223876953
2006-08-16,90.28756713867188
2006-08-17,90.51730346679688
2006-08-18,90.97674560546875
2006-08-21,90.5869140625
2006-08-22,90.5799560546875
2006-08-23,90.32935333251953
2006-08-24,90.25279235839844
2006-08-25,90.36418151855469
2006-08-28,90.79573059082031
2006-08-29,90.90018463134766
2006-08-30,90.95587158203125
2006-08-31,90.94193267822266
2006-09-01,91.48494720458984
2006-09-05,91.6589584350586
2006-09-06,90.85143280029297
2006-09-07,90.4337387084961
2006-09-08,90.69132995605469
2006-09-11,90.78184509277344
2006-09-12,91.67286682128906
2006-09-13,92.04183197021484
2006-09-14,92.04875946044922
2006-09-15,92.26484680175781
2006-09-18,92.39071655273438
2006-09-19,92.1599349975586
2006-09-20,92.64936828613281
2006-09-21,92.2018814086914
2006-09-22,91.92223358154297
2006-09-25,92.62841033935547
2006-09-26,93.39749908447266
2006-09-27,93.50938415527344
2006-09-28,93.47444152832031
2006-09-29,93.39749908447266
2006-10-02,93.04793548583984
2006-10-03,93.24369049072266
2006-10-04,94.33440399169922
2006-10-05,94.5162124633789
2006-10-06,94.3973388671875
2006-10-09,94.45331573486328
2006-10-10,94.57917785644531
2006-10-11,94.46727752685547
2006-10-12,95.28531646728516
2006-10-13,95.53004455566406
2006-10-16,95.67684936523438
2006-10-17,95.3762435913086
2006-10-18,95.5020751953125
2006-10-19,95.65592193603516
2006-10-20,95.67684936523438
2006-10-23,96.11734771728516
